name,count
Ophelia,14818
Melina,14765
Abbey,14738
Destinee,14689
Chandra,14624
Lilian,14565
Liana,14495
Kaleigh,14387
Valarie,14350
Kamila,14296
Corrine,14289
Sybil,14285
Earnestine,14228
Ariella,14195
Nannie,14189
Reyna,14149
Deja,14088
Carley,14040
Eleanore,13909
Earline,13907
Cornelia,13905
Kimberlee,13902
Jazlyn,13847
Kierra,13794
Shania,13787
Bailee,13774
Dolly,13761
Selina,13750
Magdalena,13736
Dona,13676
Charlee,13675
Jimena,13671
Brandie,13666
Bria,13620
Arline,13584
Anaya,13572
Felicity,13550
Ayanna,13549
Amina,13516
Deirdre,13467
Myla,13459
Halle,13423
Roslyn,13406
Nanette,13404
Suzette,13401
Shayna,13374
Ilene,13363
Kaelyn,13325
Cheyanne,13267
Elissa,13241
Aleah,13220
Neva,13169
Nicolette,13144
Zara,13127
Estrella,13084
Luann,12990
Lavonne,12968
Anika,12958
Cecile,12920
Margot,12915
Kaia,12913
Maude,12884
Maia,12847
Roseann,12797
Danica,12776
Annabella,12750
Letha,12750
Flossie,12725
Gillian,12715
Nataly,12715
Aylin,12632
Tiffani,12605
Kennedi,12526
Jaqueline,12503
Casandra,12486
Rosalinda,12485
Jerri,12464
Annalise,12450
Jeanie,12450
Susanna,12385
Kathie,12343
Melany,12325
Rhiannon,12291
Evie,12290
Everleigh,12280
Lyndsey,12279
Kiersten,12275
Aubrie,12269
Maliyah,12264
Mariam,12258
Odessa,12235
Chaya,12204
Scarlet,12159
Chantel,12157
Kaila,12151
Dollie,12109
Tammi,12102
Gracelyn,12093
Jacklyn,12085
Kailyn,12080
Dayana,12062
Wendi,12016
Krystle,12007
Miley,11994
Marianna,11972
Chrystal,11882
Lorelei,11862
Magnolia,11822
Chelsie,11817
Corina,11780
Terra,11762
Madyson,11690
Liza,11682
Lynnette,11678
Liberty,11677
Journee,11651
Concetta,11628
Janiyah,11612
Charmaine,11609
Deidre,11593
Marcie,11586
Dahlia,11571
Tameka,11560
Queen,11514
Margery,11488
Janna,11465
Kaley,11457
Janell,11456
Mckayla,11435
Deanne,11429
Janessa,11404
Rosanne,11371
Libby,11360
Leia,11354
Thea,11334
Yasmine,11279
Zelma,11247
Alyce,11233
Micaela,11199
Celina,11180
Lakisha,11177
Karlee,11171
Skyla,11143
Tyra,11140
Adelynn,11120
Marci,11023
Yaretzi,11021
Stephany,10999
Earlene,10990
Lina,10985
Georgina,10938
Raelyn,10903
Briella,10888
Tess,10845
Sheree,10828
Thalia,10821
Kailee,10806
Edwina,10804
Althea,10785
Mari,10785
Louisa,10764
Tamera,10762
Alena,10712
Tamia,10688
Alani,10677
Dayna,10637
Luciana,10617
Jannie,10593
Amalia,10558
Dalia,10523
Chana,10511
Karyn,10506
Reva,10488
Rebeca,10472
Lainey,10469
Tamra,10451
Tianna,10447
Freya,10405
Adelina,10352
Zariah,10341
Laney,10292
Celine,10288
Desirae,10281
Carlene,10257
Giovanna,10221
Abbigail,10213
Annabel,10208
America,10197
Averie,10192
Bridgett,10189
Nona,10124
Brinley,10116
Iliana,10114
Evelynn,10094
Demi,10065
Moriah,10032
Roxie,10030
Nylah,10023
